"0,2-d","1,2-d","3,2-d","4,2-d","5,2-d"
21,2,0,0,0
46,3,0,0,0
17,0,0,0,0
38,3,0,0,0
17,0,0,0,0
39,0,0,0,0
50,11,6,0,0
44,7,3,0,0
31,5,3,0,0
19,1,0,0,0
57,9,3,0,0
44,8,3,0,0
46,7,0,0,0
42,6,0,0,0
29,4,0,0,0
30,1,0,0,0
37,2,0,0,0
25,3,0,0,0
9,0,0,0,0
38,4,0,0,0
24,3,0,0,0
30,4,0,0,0
21,3,0,0,0
49,11,6,9,0
37,9,6,9,0
47,11,6,9,0
46,10,6,9,0
56,15,9,9,0
40,7,3,0,0
44,10,6,9,0
38,7,3,0,0
33,3,0,0,0
41,4,0,0,0
11,2,0,0,0
47,0,0,0,0
61,12,6,9,0
49,7,3,0,0
63,15,9,9,0
69,15,9,18,0
57,11,9,18,0
58,15,12,18,0
39,7,3,0,0
46,11,6,9,0
46,11,9,18,0
40,7,3,0,0
44,10,3,0,0
50,10,6,0,0
38,7,3,0,0
60,16,12,9,0
41,8,3,0,0
48,11,6,9,0
47,10,6,0,0
54,13,9,9,0
54,14,12,27,0
42,9,6,9,0
50,11,6,0,0
37,8,3,0,0
42,8,3,0,0
33,5,0,0,0
35,6,0,0,0
36,7,3,0,0
30,5,0,0,0
12,0,0,0,0
2,1,0,0,0
49,8,3,0,0
52,7,0,0,0
28,2,0,0,0
31,4,0,0,0
39,3,0,0,0
27,1,0,0,0
35,3,0,0,0
37,2,0,0,0
25,1,0,0,0
42,3,0,0,0
45,5,3,0,0
33,5,3,0,0
43,4,0,0,0
47,5,3,0,0
14,3,0,0,0
33,5,3,0,0
20,6,3,0,0
19,1,0,0,0
36,7,3,0,0
18,3,0,0,0
10,1,0,0,0
18,0,0,0,0
56,4,0,0,0
14,2,0,0,0
8,0,0,0,0
25,2,0,0,0
62,6,0,0,0
30,4,0,0,0
31,3,0,0,0
40,5,0,0,0
80,11,0,0,0
51,4,0,0,0
22,2,0,0,0
24,4,0,0,0
68,10,3,0,0
62,6,0,0,0
64,9,3,0,0
60,5,0,0,0
70,8,0,0,0
51,5,0,0,0
30,4,0,0,0
32,4,0,0,0
30,6,3,0,0
22,3,0,0,0
49,3,0,0,0
43,5,0,0,0
34,4,3,0,0
43,6,3,0,0
39,5,0,0,0
29,2,0,0,0
32,6,3,0,0
19,1,0,0,0
28,2,0,0,0
25,1,0,0,0
24,1,0,0,0
10,2,0,0,0
17,2,0,0,0
7,1,0,0,0
4,1,0,0,0
5,1,0,0,0
3,0,0,0,0
0,0,0,0,0
34,6,3,0,0
33,8,6,0,0
32,7,3,0,0
28,5,3,0,0
19,4,3,0,0
15,4,3,0,0
30,1,0,0,0
44,7,0,0,0
44,7,3,0,0
54,9,3,0,0
34,4,0,0,0
36,4,0,0,0
33,2,0,0,0
52,12,3,0,0
42,3,0,0,0
50,6,0,0,0
31,5,3,0,0
27,2,0,0,0
31,5,3,0,0
30,5,3,0,0
31,4,0,0,0
32,4,0,0,0
45,0,0,0,0
26,2,0,0,0
32,3,0,0,0
22,0,0,0,0
38,3,0,0,0
29,3,0,0,0
10,0,0,0,0
16,0,0,0,0
40,4,0,0,0
16,4,3,0,0
18,5,3,0,0
23,10,6,0,0
16,4,3,0,0
17,3,0,0,0
18,5,3,0,0
0,0,0,0,0
1,0,0,0,0
30,5,0,0,0
17,1,0,0,0
5,0,0,0,0
48,12,9,18,0
58,19,15,27,0
44,9,3,0,0
45,11,9,18,0
44,10,6,9,0
46,12,9,18,0
33,8,6,9,0
42,8,3,0,0
43,11,9,18,0
42,10,6,9,0
29,7,6,9,0
55,17,12,18,0
37,6,3,0,0
42,9,6,9,0
49,13,6,0,0
44,9,0,0,0
47,11,3,0,0
48,12,3,0,0
51,14,6,0,0
52,15,9,18,0
51,15,9,9,0
35,6,3,0,0
34,7,6,0,0
30,4,3,0,0
33,6,3,0,0
38,8,6,9,0
35,6,3,0,0
40,9,6,9,0
33,6,3,0,0
32,5,3,0,0
36,8,6,9,0
66,11,0,0,0
53,6,0,0,0
57,12,0,0,0
35,4,0,0,0
16,2,0,0,0
28,2,0,0,0
4,1,0,0,0
31,7,0,0,0
1,0,0,0,0
8,1,0,0,0
9,2,0,0,0
8,1,0,0,0
10,3,0,0,0
11,4,0,0,0
9,2,0,0,0
34,1,0,0,0
39,4,0,0,0
42,10,3,0,0
18,3,0,0,0
11,4,0,0,0
8,2,0,0,0
8,0,0,0,0
9,2,0,0,0
16,0,0,0,0
26,2,0,0,0
68,9,3,0,0
65,7,3,0,0
31,3,0,0,0
81,14,6,0,0
101,17,6,0,0
76,10,3,0,0
46,6,0,0,0
78,12,6,0,0
42,5,0,0,0
53,9,6,0,0
52,10,6,0,0
72,11,3,0,0
62,6,0,0,0
24,3,0,0,0
21,1,0,0,0
47,8,3,0,0
23,2,0,0,0
36,7,0,0,0
29,4,3,0,0
45,11,0,0,0
26,3,0,0,0
26,4,0,0,0
47,9,0,0,0
35,7,0,0,0
40,11,0,0,0
36,8,0,0,0
35,7,0,0,0
35,7,0,0,0
36,8,0,0,0
21,4,0,0,0
21,3,0,0,0
17,0,0,0,0
9,1,0,0,0
23,1,0,0,0
28,5,0,0,0
29,5,0,0,0
12,1,0,0,0
29,6,0,0,0
26,4,0,0,0
8,2,0,0,0
14,1,0,0,0
5,0,0,0,0
14,2,0,0,0
1,0,0,0,0
3,1,0,0,0
57,0,0,0,0
66,7,0,0,0
59,2,0,0,0
58,4,0,0,0
94,14,3,0,0
93,12,3,0,0
88,11,0,0,0
67,10,0,0,0
52,4,0,0,0
64,10,0,0,0
71,12,0,0,0
57,3,0,0,0
61,6,0,0,0
62,10,0,0,0
63,11,0,0,0
76,13,3,0,0
65,11,0,0,0
68,11,0,0,0
64,10,0,0,0
67,13,0,0,0
57,9,0,0,0
59,8,0,0,0
81,7,0,0,0
70,6,0,0,0
58,8,0,0,0
62,9,0,0,0
61,11,0,0,0
57,9,0,0,0
71,15,0,0,0
56,8,0,0,0
53,4,0,0,0
72,9,0,0,0
53,5,0,0,0
67,11,0,0,0
72,8,0,0,0
67,4,0,0,0
64,9,3,0,0
70,13,9,0,0
70,12,3,0,0
62,7,0,0,0
67,9,3,0,0
62,7,0,0,0
57,5,3,0,0
55,4,0,0,0
63,9,3,0,0
60,6,3,0,0
47,0,0,0,0
6,2,0,0,0
0,0,0,0,0
64,14,6,9,0
52,10,6,9,0
44,7,0,0,0
46,7,0,0,0
46,9,3,0,0
50,7,0,0,0
66,16,9,9,0
54,11,6,9,0
45,8,3,0,0
46,8,0,0,0
48,9,0,0,0
60,12,9,18,0
51,7,3,0,0
55,7,0,0,0
54,10,3,0,0
94,6,0,0,0
53,10,3,0,0
50,7,0,0,0
52,7,0,0,0
39,5,3,0,0
82,8,0,0,0
44,3,0,0,0
42,8,3,0,0
49,13,6,9,0
49,12,9,18,0
39,6,0,0,0
37,9,6,9,0
29,5,0,0,0
31,6,0,0,0
82,11,0,0,0
56,5,0,0,0
51,3,0,0,0
50,3,0,0,0
47,10,3,0,0
36,3,0,0,0
29,5,0,0,0
41,8,3,0,0
23,4,0,0,0
44,8,3,0,0
51,11,6,9,0
42,7,3,0,0
45,10,6,9,0
35,4,0,0,0
24,1,0,0,0
32,8,0,0,0
27,3,0,0,0
6,0,0,0,0
37,8,0,0,0
27,6,0,0,0
34,8,0,0,0
32,8,0,0,0
27,6,0,0,0
27,6,0,0,0
27,6,0,0,0
74,11,0,0,0
76,11,0,0,0
96,19,0,0,0
56,3,0,0,0
73,12,0,0,0
64,10,0,0,0
64,10,0,0,0
70,11,0,0,0
73,14,0,0,0
65,11,0,0,0
69,11,0,0,0
60,5,0,0,0
35,3,0,0,0
57,7,0,0,0
60,8,0,0,0
53,5,0,0,0
53,4,0,0,0
51,2,0,0,0
50,2,0,0,0
28,4,3,0,0
36,6,3,0,0
27,1,0,0,0
28,2,0,0,0
21,0,0,0,0
48,17,6,0,0
28,4,3,0,0
37,6,0,0,0
36,6,3,0,0
34,4,0,0,0
2,1,0,0,0
34,4,0,0,0
22,2,0,0,0
3,1,0,0,0
28,5,3,0,0
11,4,0,0,0
12,4,0,0,0
1,0,0,0,0
23,2,0,0,0
21,2,0,0,0
46,9,3,0,0
46,6,3,0,0
45,6,3,0,0
41,6,0,0,0
45,8,3,0,0
26,2,0,0,0
26,2,0,0,0
31,4,3,0,0
31,6,3,0,0
20,2,0,0,0
20,2,0,0,0
26,2,0,0,0
18,0,0,0,0
36,6,0,0,0
17,2,0,0,0
66,7,0,0,0
16,1,0,0,0
68,7,0,0,0
84,22,0,0,0
16,1,0,0,0
5,1,0,0,0
8,2,0,0,0
9,2,0,0,0
36,9,3,0,0
32,7,3,0,0
34,9,6,0,0
30,5,0,0,0
34,6,3,0,0
3,0,0,0,0
12,3,0,0,0
87,13,3,0,0
51,4,0,0,0
11,1,0,0,0
21,2,0,0,0
32,1,0,0,0
37,6,0,0,0
39,7,0,0,0
47,8,0,0,0
10,0,0,0,0
71,10,3,0,0
73,10,3,0,0
59,8,6,0,0
54,5,3,0,0
65,5,0,0,0
50,3,0,0,0
69,6,0,0,0
86,9,0,0,0
64,8,3,0,0
63,6,0,0,0
82,9,0,0,0
62,7,0,0,0
100,19,6,0,0
75,13,3,0,0
88,12,3,0,0
66,10,3,0,0
88,10,0,0,0
52,3,0,0,0
56,4,0,0,0
108,20,3,0,0
81,9,0,0,0
82,9,0,0,0
85,13,0,0,0
82,10,0,0,0
60,6,0,0,0
57,5,0,0,0
84,6,0,0,0
74,5,0,0,0
52,4,0,0,0
39,7,0,0,0
27,6,0,0,0
43,3,0,0,0
29,3,0,0,0
34,6,3,0,0
36,4,3,0,0
22,1,0,0,0
13,3,0,0,0
10,0,0,0,0
19,2,0,0,0
12,1,0,0,0
16,2,0,0,0
14,0,0,0,0
9,0,0,0,0
17,1,0,0,0
41,6,3,0,0
30,5,3,0,0
33,6,3,0,0
29,4,0,0,0
20,6,3,0,0
15,4,0,0,0
21,8,3,0,0
21,6,3,0,0
60,10,0,0,0
44,9,0,0,0
30,6,0,0,0
23,3,0,0,0
20,2,0,0,0
24,2,0,0,0
26,1,0,0,0
18,2,0,0,0
24,3,0,0,0
41,9,0,0,0
39,4,0,0,0
22,4,0,0,0
15,3,0,0,0
65,5,0,0,0
63,4,0,0,0
2,0,0,0,0
1,0,0,0,0
14,3,0,0,0
16,3,0,0,0
6,2,0,0,0
58,5,0,0,0
44,4,0,0,0
37,5,3,0,0
25,7,3,0,0
24,6,0,0,0
23,4,0,0,0
21,4,0,0,0
22,6,3,0,0
56,6,0,0,0
30,4,0,0,0
21,4,3,0,0
40,3,0,0,0
19,2,0,0,0
6,2,0,0,0
4,1,0,0,0
86,16,9,18,0
70,9,6,9,0
74,12,6,9,0
75,12,9,18,0
58,11,6,9,0
62,15,9,9,0
54,9,3,0,0
63,12,9,18,0
50,8,0,0,0
42,7,0,0,0
47,11,6,9,0
46,9,0,0,0
34,5,0,0,0
42,7,3,0,0
51,11,6,9,0
10,0,0,0,0
23,1,0,0,0
23,1,0,0,0
21,1,0,0,0
3,0,0,0,0
30,7,0,0,0
35,8,0,0,0
31,8,0,0,0
9,0,0,0,0
28,3,0,0,0
31,3,0,0,0
57,11,0,0,0
44,4,0,0,0
42,8,3,0,0
31,3,0,0,0
46,9,3,0,0
67,17,3,0,0
49,10,6,0,0
57,11,0,0,0
57,13,3,0,0
39,7,3,0,0
61,14,3,0,0
43,7,3,0,0
55,11,0,0,0
60,13,0,0,0
57,12,0,0,0
55,11,0,0,0
71,24,9,0,0
56,11,0,0,0
38,5,0,0,0
1,0,0,0,0
43,2,0,0,0
45,5,0,0,0
10,2,0,0,0
41,4,0,0,0
27,3,0,0,0
40,3,0,0,0
26,2,0,0,0
13,5,3,0,0
10,2,0,0,0
18,4,0,0,0
18,1,0,0,0
2,0,0,0,0
2,0,0,0,0
1,0,0,0,0
46,8,0,0,0
46,8,0,0,0
38,2,0,0,0
38,3,0,0,0
79,8,0,0,0
86,13,3,0,0
83,12,3,0,0
93,16,0,0,0
88,12,0,0,0
90,15,6,0,0
79,8,0,0,0
44,4,0,0,0
61,11,3,0,0
49,2,0,0,0
50,8,3,0,0
46,4,0,0,0
47,7,3,0,0
45,4,0,0,0
40,4,0,0,0
55,11,0,0,0
50,9,0,0,0
55,9,0,0,0
45,4,0,0,0
48,5,0,0,0
35,0,0,0,0
5,0,0,0,0
8,2,0,0,0
0,0,0,0,0
3,0,0,0,0
4,1,0,0,0
3,1,0,0,0
2,1,0,0,0
2,1,0,0,0
30,6,0,0,0
14,2,0,0,0
14,2,0,0,0
54,3,0,0,0
57,3,0,0,0
7,2,0,0,0
38,0,0,0,0
10,2,0,0,0
20,4,0,0,0
13,2,0,0,0
0,0,0,0,0
33,6,3,0,0
32,5,3,0,0
27,4,0,0,0
18,6,3,0,0
1,0,0,0,0
10,4,0,0,0
11,2,0,0,0
2,0,0,0,0
34,7,3,0,0
27,3,0,0,0
1,0,0,0,0
8,2,0,0,0
0,0,0,0,0
6,0,0,0,0
1,0,0,0,0
6,3,0,0,0
6,3,0,0,0
6,3,0,0,0
6,3,0,0,0
31,4,0,0,0
17,2,0,0,0
20,3,0,0,0
11,1,0,0,0
13,3,3,0,0
23,2,0,0,0
85,13,3,0,0
71,9,3,0,0
60,6,0,0,0
46,7,3,0,0
48,2,0,0,0
11,1,0,0,0
10,2,0,0,0
14,1,0,0,0
26,4,0,0,0
29,3,0,0,0
28,4,0,0,0
6,3,0,0,0
7,3,0,0,0
6,3,0,0,0
58,6,0,0,0
59,6,0,0,0
56,6,0,0,0
57,7,0,0,0
56,1,0,0,0
60,6,3,0,0
64,8,3,0,0
49,0,0,0,0
56,5,3,0,0
65,10,9,0,0
62,6,3,0,0
60,6,3,0,0
50,0,0,0,0
56,3,0,0,0
47,0,0,0,0
68,5,0,0,0
68,5,0,0,0
57,4,0,0,0
56,3,0,0,0
61,4,0,0,0
20,2,0,0,0
19,2,0,0,0
19,1,0,0,0
20,2,0,0,0
13,3,0,0,0
12,3,0,0,0
14,3,0,0,0
32,5,0,0,0
10,0,0,0,0
16,5,0,0,0
17,3,0,0,0
10,1,0,0,0
13,2,0,0,0
19,2,0,0,0
13,3,0,0,0
10,3,0,0,0
10,3,0,0,0
10,3,0,0,0
13,3,0,0,0
10,1,0,0,0
7,0,0,0,0
21,3,0,0,0
72,22,0,0,0
72,22,0,0,0
74,23,0,0,0
75,23,0,0,0
72,22,0,0,0
77,26,6,0,0
74,24,3,0,0
80,30,9,0,0
74,24,3,0,0
72,22,0,0,0
72,22,0,0,0
72,22,0,0,0
72,22,0,0,0
73,23,0,0,0
72,22,0,0,0
75,22,0,0,0
72,22,0,0,0
72,22,0,0,0
75,25,3,0,0
72,22,0,0,0
75,24,0,0,0
72,22,0,0,0
53,3,0,0,0
54,4,0,0,0
55,4,0,0,0
45,4,0,0,0
44,4,0,0,0
46,5,0,0,0
46,4,0,0,0
45,4,3,0,0
51,7,3,0,0
48,6,3,0,0
49,7,3,0,0
46,4,0,0,0
38,0,0,0,0
43,3,0,0,0
43,2,0,0,0
37,1,0,0,0
42,5,0,0,0
41,4,0,0,0
43,5,0,0,0
41,4,0,0,0
41,4,3,0,0
47,7,3,0,0
44,5,0,0,0
44,6,3,0,0
45,6,3,0,0
18,0,0,0,0
5,1,0,0,0
5,1,0,0,0
5,1,0,0,0
13,3,0,0,0
16,0,0,0,0
17,0,0,0,0
28,6,3,0,0
23,4,3,0,0
30,1,0,0,0
39,5,0,0,0
29,7,3,0,0
13,1,0,0,0
5,1,0,0,0
16,5,3,0,0
23,1,0,0,0
18,0,0,0,0
50,12,0,0,0
39,3,0,0,0
16,2,0,0,0
17,3,0,0,0
18,3,0,0,0
16,3,0,0,0
13,3,0,0,0
2,1,0,0,0
4,2,0,0,0
11,1,0,0,0
10,2,0,0,0
47,6,0,0,0
43,6,3,0,0
54,11,3,0,0
25,5,3,0,0
9,2,0,0,0
8,1,0,0,0
28,1,0,0,0
10,3,0,0,0
10,3,0,0,0
9,2,0,0,0
13,4,0,0,0
12,4,0,0,0
15,4,0,0,0
10,4,0,0,0
9,1,0,0,0
41,9,6,9,0
42,9,6,9,0
41,9,6,9,0
42,9,6,9,0
41,9,6,9,0
42,9,6,9,0
10,1,0,0,0
0,0,0,0,0
46,12,12,54,76
45,12,12,54,76
48,13,12,54,76
49,13,12,54,76
48,13,12,54,76
46,12,12,54,76
49,13,12,54,76
50,14,12,54,76
49,13,12,54,76
48,13,12,54,76
49,13,12,54,76
48,13,12,54,76
52,15,15,63,76
51,15,15,63,76
52,15,15,63,76
38,13,3,0,0
25,5,0,0,0
24,6,3,0,0
6,0,0,0,0
5,0,0,0,0
43,12,12,54,76
46,12,12,54,76
47,13,12,54,76
46,12,12,54,76
45,12,12,54,76
46,12,12,54,76
45,12,12,54,76
49,13,12,54,76
48,13,12,54,76
49,13,12,54,76
0,0,0,0,0
2,1,0,0,0
5,1,0,0,0
1,0,0,0,0
1,0,0,0,0
3,1,0,0,0
16,4,3,0,0
3,1,0,0,0
1,0,0,0,0
2,1,0,0,0
12,2,0,0,0
17,1,0,0,0
21,1,0,0,0
30,6,0,0,0
37,7,3,0,0
38,12,0,0,0
20,5,3,0,0
18,7,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
43,5,0,0,0
30,6,0,0,0
55,9,0,0,0
55,8,0,0,0
51,7,3,0,0
62,15,6,0,0
33,6,3,0,0
37,12,0,0,0
26,2,0,0,0
44,5,0,0,0
43,4,0,0,0
45,3,0,0,0
15,1,0,0,0
5,0,0,0,0
29,5,0,0,0
29,3,0,0,0
52,10,3,0,0
56,11,3,0,0
48,4,0,0,0
34,5,0,0,0
52,8,0,0,0
0,0,0,0,0
36,5,0,0,0
2,1,0,0,0
55,12,6,0,0
50,8,0,0,0
50,8,0,0,0
56,13,0,0,0
36,11,0,0,0
37,12,0,0,0
38,13,3,0,0
36,11,0,0,0
36,11,0,0,0
36,11,0,0,0
5,1,0,0,0
24,2,0,0,0
25,3,0,0,0
24,2,0,0,0
42,2,0,0,0
44,0,0,0,0
71,10,0,0,0
77,12,6,9,0
81,15,6,9,0
82,16,9,18,0
66,7,0,0,0
66,14,9,9,0
53,6,3,0,0
70,13,9,9,0
56,6,3,0,0
54,5,0,0,0
45,3,0,0,0
45,4,0,0,0
58,9,3,0,0
56,7,0,0,0
57,8,3,0,0
41,2,0,0,0
32,2,0,0,0
10,2,0,0,0
2,0,0,0,0
18,7,3,0,0
21,0,0,0,0
46,12,12,54,76
47,13,12,54,76
46,12,12,54,76
50,14,12,54,76
49,13,12,54,76
50,14,12,54,76
34,5,0,0,0
4,0,0,0,0
15,3,0,0,0
5,1,0,0,0
8,1,0,0,0
6,1,0,0,0
4,0,0,0,0
0,0,0,0,0
30,3,0,0,0
36,3,0,0,0
27,2,0,0,0
6,3,3,0,0
10,3,0,0,0
10,3,0,0,0
13,5,0,0,0
8,1,0,0,0
5,0,0,0,0
1,0,0,0,0
3,1,0,0,0
4,2,0,0,0
4,1,0,0,0
2,1,0,0,0
2,1,0,0,0
2,1,0,0,0
9,4,3,0,0
9,3,3,0,0
9,3,3,0,0
25,5,3,0,0
43,1,0,0,0
31,6,3,0,0
28,6,3,0,0
16,0,0,0,0
2,1,0,0,0
17,3,0,0,0
14,3,0,0,0
2,1,0,0,0
33,3,0,0,0
6,0,0,0,0
39,7,0,0,0
35,4,0,0,0
54,10,6,9,0
49,7,3,0,0
58,10,6,9,0
14,2,0,0,0
1,0,0,0,0
3,0,0,0,0
3,1,0,0,0
13,3,0,0,0
5,0,0,0,0
6,2,0,0,0
5,2,0,0,0
6,3,0,0,0
6,3,0,0,0
6,3,0,0,0
6,1,0,0,0
9,2,0,0,0
2,0,0,0,0
9,3,0,0,0
1,0,0,0,0
32,5,0,0,0
29,6,0,0,0
30,7,3,0,0
9,4,3,0,0
6,2,0,0,0
5,2,0,0,0
5,2,0,0,0
0,0,0,0,0
49,13,12,54,76
48,13,12,54,76
49,13,12,54,76
52,15,15,63,76
1,0,0,0,0
33,5,3,0,0
4,1,0,0,0
5,1,0,0,0
19,2,0,0,0
0,0,0,0,0
5,2,0,0,0
3,0,0,0,0
5,2,0,0,0
4,1,0,0,0
14,5,3,0,0
0,0,0,0,0
11,5,3,0,0
11,5,3,0,0
9,3,3,0,0
5,2,0,0,0
5,2,0,0,0
4,2,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
1,0,0,0,0
1,0,0,0,0
2,0,0,0,0
0,0,0,0,0
2,0,0,0,0
6,2,0,0,0
6,2,0,0,0
0,0,0,0,0
4,1,0,0,0
2,1,0,0,0
4,1,0,0,0
8,3,3,0,0
0,0,0,0,0
4,2,0,0,0
4,2,0,0,0
0,0,0,0,0
